date,member_name,session_count,total_input_tokens,total_output_tokens,total_cache_creation_tokens,total_cache_read_tokens,total_cost_usd
2026-03-14,조면철,2,71,8449,183296,647747,1.6811
2026-03-14,jaeyoon,2,18,8519,58287,138367,0.6465
2026-03-13,hletrd,23,290244,3828554,171476371,1235620975,1682.4282
2026-03-13,claude,24,43635,1412648,40774581,1058599733,819.6754
2026-03-13,김성민,2,74206,529524,17441139,220996509,233.1145
2026-03-13,ben_baldivia,12,3741,488637,6380230,310783383,207.5028
2026-03-13,Da-hye Kim,24,22468,402758,6089862,141242906,118.8644
2026-03-13,inkeun,98,11008626,188252,879478,26495622,51.0473
2026-03-13,cyjun0304,7,1133,162217,1284973,56615474,40.3999
2026-03-13,조면철,3,16329,70712,942595,10994496,13.2379
2026-03-13,jaeyoon,2,404,36833,806516,10748554,11.3378
2026-03-13,samwoo,3,318,37088,259128,7256669,6.1767
2026-03-12,hletrd,21,537844,5886622,319431220,1899750938,2902.2562
2026-03-12,ben_baldivia,84,140056,1512314,16472108,834354995,558.6363
2026-03-12,Da-hye Kim,23,298584,1643843,24128489,767660393,531.8459
2026-03-12,claude,21,14237,783061,23546035,271032207,302.3265
2026-03-12,inkeun,115,7203367,382546,5511393,91501714,106.3137
2026-03-12,김성민,5,1233,146049,3488361,33734522,42.3269
2026-03-12,cyjun0304,5,863,129132,1008238,49665510,34.3669
2026-03-12,samwoo,2,4200,207320,2099237,31928774,34.2886
2026-03-12,jaeyoon,4,925,45331,857849,14112883,13.5559
2026-03-12,조면철,4,223,17257,261301,3663627,3.8975
2026-03-12,김선후,1,2206,31940,262248,1192299,3.0447
2026-03-11,ben_baldivia,74,31043,1157378,13450433,512837426,369.5736
2026-03-11,claude,13,81821,577235,20938180,177398032,234.4026
2026-03-11,김성민,9,6633,423627,14415645,182256205,191.8497
2026-03-11,hletrd,8,5548,426193,10991783,189233660,173.9980
2026-03-11,jaeyoon,4,19425,340591,15092605,89932492,147.9069
2026-03-11,Da-hye Kim,13,25377,450305,5128656,196116209,141.4967
2026-03-11,김선후,9,31951,164032,2032483,38689971,36.3086
2026-03-11,inkeun,101,5530474,185709,1105250,24615644,34.1137
2026-03-11,cyjun0304,2,251,54563,395930,11929382,9.8046
2026-03-11,조면철,2,7795,33382,236172,5690932,5.1951
2026-03-11,samwoo,2,240,7553,114161,375311,1.0912
2026-03-10,ben_baldivia,266,299276,4770512,55977471,2812675533,1876.9561
2026-03-10,hletrd,22,3914423,1247216,46916284,567199805,601.9455
2026-03-10,김성민,4,13452,811343,18451775,563230502,417.2897
2026-03-10,Da-hye Kim,12,12774,676940,6881607,280669309,198.1554
2026-03-10,jaeyoon,3,20221,401003,3567180,197438738,131.1404
2026-03-10,samwoo,11,35678,722940,7375596,111545713,120.1222
2026-03-10,inkeun,110,6318362,308446,3036281,49091274,65.0973
2026-03-10,cyjun0304,5,2500,158546,2031150,73332732,53.3372
2026-03-10,claude,4,929,111757,2873456,30053725,35.7845
2026-03-10,조면철,1,10856,9067,167552,1011756,1.8340
2026-03-10,김선후,1,12,619,23870,86492,0.2080
2026-03-09,ben_baldivia,60,194461,1934265,22047098,935336896,654.7917
2026-03-09,hletrd,17,31325,1260898,21647960,579150337,452.5431
2026-03-09,claude,14,9933,588136,15219252,283274887,251.5108
2026-03-09,Da-hye Kim,5,107513,460249,4623319,167917064,124.8981
2026-03-09,jaeyoon,6,3246,243893,7661649,100053622,104.0257
2026-03-09,inkeun,100,7456110,203154,541948,30081315,41.7331
2026-03-09,김선후,3,6323,111002,544398,11087077,11.7527
2026-03-09,김성민,4,373,29181,1122606,6435106,10.9652
2026-03-09,cyjun0304,7,32839,30924,419948,6033648,6.5788
2026-03-09,samwoo,3,135,13677,248522,2042319,2.9170
2026-03-09,조면철,2,73,5018,83598,800433,1.0485
2026-03-08,김성민,3,28721,1793166,59126943,547815696,688.4240
2026-03-08,ben_baldivia,26,36632,1135267,13552560,627072887,426.8048
2026-03-08,hletrd,11,40979,825384,17488455,375044917,289.5662
2026-03-08,claude,11,5558,244929,10061331,94889790,116.4792
2026-03-08,inkeun,97,8060199,160996,744752,20545595,35.5520
2026-03-08,Da-hye Kim,1,34092,99413,1621819,43283187,34.4337
2026-03-08,samwoo,2,392,110254,1516199,19036971,21.7530
2026-03-07,ben_baldivia,41,99361,3143030,42227179,1653689331,1169.8371
2026-03-07,inkeun,131,25676448,750445,14712386,263231287,290.2676
2026-03-07,claude,26,5308,447238,16695207,186787304,208.9462
2026-03-07,hletrd,9,2679,164182,2017980,77325963,55.3933
2026-03-07,samwoo,4,12270,197356,2972361,36131437,41.6382
2026-03-07,jaeyoon,1,1183,60874,3190292,38110298,40.5222
2026-03-07,김성민,1,109,5805,168885,2259124,2.3308
2026-03-06,hletrd,24,250469,4129463,94527362,1359942089,1314.7972
2026-03-06,ben_baldivia,70,305295,2685047,28052362,1459889992,973.9249
2026-03-06,claude,12,3539,295476,8334794,126652721,122.8234
2026-03-06,inkeun,68,2765648,331300,6529384,97432341,99.2225
2026-03-06,Da-hye Kim,25,9669,410429,6508748,122287269,96.2232
2026-03-06,jaeyoon,1,16542,284309,3427897,129795570,93.5126
2026-03-06,조면철,3,2798,145880,912133,49819617,34.2716
2026-03-06,김성민,4,579,37170,2056993,10367073,18.9719
2026-03-06,samwoo,3,115,10476,269611,1918943,2.9070
2026-03-05,hletrd,29,568278,2993842,97088530,878273085,998.5260
2026-03-05,ben_baldivia,36,70559,1237484,12297665,653652105,435.9024
2026-03-05,claude,5,53952,532784,12311541,227214189,204.1436
2026-03-05,jaeyoon,3,4503,363197,8775735,148244691,138.0731
2026-03-05,조면철,11,26747,355431,3934891,146282003,106.7536
2026-03-05,inkeun,13,2388,156590,5067370,51500079,61.3478
2026-03-05,김성민,4,684,49525,4335649,14129046,35.4039
2026-03-05,Da-hye Kim,33,52077,223363,3886255,37370497,26.2582
2026-03-05,윤지용,1,147,10290,468535,1954492,12.4907
2026-03-05,김선후,7,3012,39480,960986,7584618,10.8005
2026-03-05,samwoo,1,5237,45291,1092022,3733294,9.8502
2026-03-05,jyjung,1,12,862,20200,70643,0.1832
2026-03-04,ben_baldivia,36,89634,1515699,14479554,841702195,1379.2986
2026-03-04,hletrd,35,644280,3039131,82020339,1142284336,1187.4529
2026-03-04,윤지용,7,9908,619820,14424473,345166703,834.8440
2026-03-04,claude,10,4691,334425,7986889,173708222,264.9635
2026-03-04,inkeun,17,336045,191208,5366451,49043106,148.8077
2026-03-04,Da-hye Kim,29,77150,299957,6699733,57408858,133.2571
2026-03-04,jaeyoon,5,960,146110,3922374,33350498,56.3191
2026-03-04,samwoo,5,236,87575,631296,9305802,31.5554
2026-03-04,조면철,6,248,32158,552157,4585423,19.6466
2026-03-04,김성민,2,381,21693,801344,8372389,9.7388
2026-03-04,cyjun0304,8,206,22653,515716,4007164,5.7942
2026-03-04,김선후,6,72,4919,114456,1033254,3.1671
2026-03-04,jyjung,1,19,1216,69387,418534,0.6734
2026-03-03,claude,5,33825,707314,13826171,266360747,712.3378
2026-03-03,hletrd,24,2748935,743709,16937206,318041414,488.9987
2026-03-03,김선후,6,40063,403736,4197816,122253879,292.9710
2026-03-03,ben_baldivia,4,28636,367162,3655833,128484790,286.9876
2026-03-03,inkeun,21,365946,129055,5087757,35753611,159.1509
2026-03-03,cyjun0304,10,3915,91935,1430474,27670916,25.0939
2026-03-03,jaeyoon,3,17574,31375,577355,6859175,23.7309
2026-03-03,조면철,4,531,94506,917202,22516416,22.8642
2026-03-03,김성민,1,602,20417,2193442,9828858,19.1369
2026-03-03,samwoo,2,72,37789,411292,1974914,13.5094
2026-03-03,jyjung,1,80,9674,58283,2015808,0.9687
2026-03-02,claude,12,40306,911281,25006357,442075477,1200.9331
2026-03-02,inkeun,46,17236353,597041,15095890,173010502,599.0586
2026-03-02,hletrd,12,2488,184926,5647603,59231297,204.0993
2026-03-02,김선후,5,7550,194361,1885015,84326067,176.5235
2026-03-02,ben_baldivia,1,20562,60022,716690,33925453,69.1362
2026-03-01,claude,14,23201,937539,22501929,583017433,1367.1008
2026-03-01,hletrd,23,14972,1134637,27403803,475746854,1166.3459
2026-03-01,jaeyoon,3,18857,156558,1873825,62081317,140.2809
2026-03-01,inkeun,1,2734259,6378,0,0,8.2984
2026-02-28,hletrd,27,19860,1297474,37653569,674136411,1679.7118
2026-02-28,claude,19,6597,527046,16337972,257173012,731.7239
2026-02-28,jaeyoon,11,9243,147003,2216574,68550412,155.5503
2026-02-28,samwoo,7,10476,238358,1885727,61986491,146.3711
2026-02-28,김성민,1,2142,177155,2837988,85157933,64.7560
2026-02-28,inkeun,6,196804,94886,4209769,49785936,54.1420
2026-02-27,hletrd,29,17252,1116157,29183442,545697563,1431.3360
2026-02-27,claude,23,6625,527466,11316892,162105664,495.0095
2026-02-27,jaeyoon,4,93534,445884,6091122,200159975,449.2928
2026-02-27,inkeun,12,3682,204125,15258750,57126288,144.0120
2026-02-27,ben_baldivia,1,40348,52222,680451,26355159,56.8131
2026-02-27,김성민,6,33454,140597,4416760,41688958,52.1314
2026-02-27,samwoo,3,5071,85260,955704,11223586,8.2451
2026-02-27,cyjun0304,1,32,2801,47422,559644,0.3878
2026-02-26,claude,4,6511,607610,12362008,174862022,539.7491
2026-02-26,jaeyoon,5,11954,127916,3415405,57675159,155.7321
2026-02-26,hletrd,2,690,13316,967706,13876737,39.9686
2026-02-26,inkeun,6,1209,56025,2038752,10709251,27.8507
2026-02-25,inkeun,26,3432,105064,7128176,83731723,222.0243
2026-02-25,hletrd,3,195,25544,690078,2687446,18.8889
2026-02-24,hletrd,7,22388144,175091,15231040,238014124,241.0658
2026-02-24,inkeun,8,1247,75434,2743289,17718193,53.1818
2026-02-23,hletrd,4,301894,19324,2361047,28009672,25.8391
2026-02-23,inkeun,4,828,29365,1122239,2827350,5.4996
2026-02-22,inkeun,4,3106,152811,11130224,23586371,51.1157
2026-02-22,hletrd,5,853,5553,1626282,22989652,21.8022
2026-02-21,hletrd,8,39236,53600,6074164,102680234,85.8060
2026-02-21,inkeun,4,670,18885,791494,1588788,3.7300
2026-02-20,hletrd,10,33463,114642,65057923,872286771,747.8524
2026-02-20,inkeun,4,706,19855,852624,1900232,4.0674
2026-02-19,hletrd,8,4958,7765,13421687,127890844,139.3381
2026-02-19,inkeun,4,644,20669,949393,1697004,4.3813
2026-02-18,hletrd,14,122317130,614492,19832560,327776122,619.8321
2026-02-18,inkeun,4,644,21543,939898,1630939,4.3390
2026-02-17,hletrd,17,495168,193720,94267465,1040898299,964.7517
2026-02-17,inkeun,4,626,15722,739009,1445292,3.4426
2026-02-16,hletrd,10,20786,79404,49012491,586455295,556.1849
2026-02-16,inkeun,4,766,24543,1080357,2234309,5.0921
2026-02-15,hletrd,18,11615367,173079,23339798,326515264,329.7308
2026-02-15,inkeun,9,1332,71787,2222906,6781392,11.4511
2026-02-14,hletrd,26,142780,368474,24020546,444899729,381.1667
2026-02-14,inkeun,16,1542,119715,2372538,7350603,12.9025
2026-02-13,hletrd,12,408251,171024,28219467,469484357,375.5131
2026-02-13,inkeun,16,1810,130678,2743991,8271176,14.7369
2026-02-12,hletrd,8,5541,34129,12067781,141655166,133.2037
2026-02-12,inkeun,15,1958,164072,4003425,13337453,21.4810
2026-02-11,hletrd,9,13122,113333,26682002,406203945,350.3300
2026-02-11,inkeun,16,2030,173975,4282924,13007309,22.5789
2026-02-10,hletrd,6,10059,54449,19313688,298728610,242.2513
2026-02-10,inkeun,13,1606,142904,2411440,8113753,13.6254
2026-02-09,hletrd,9,10471,61735,20825445,304456559,265.8512
2026-02-09,inkeun,14,1498,123442,4137070,7310131,19.5632
2026-02-08,hletrd,14,73986948,868128,17955977,344132681,473.9285
2026-02-08,inkeun,12,2012,110311,3780264,10817363,19.0819
2026-02-07,hletrd,21,8715037,886039,8092643,185699340,164.2666
2026-02-07,inkeun,14,2780,123049,4608792,17283131,24.3220
2026-02-06,hletrd,24,14048,94871,19006429,217187970,197.7481
2026-02-06,inkeun,12,1632,90644,3127226,8208891,15.5543
2026-02-05,hletrd,28,1963901,371153,18095150,336834841,169.9973
2026-02-05,inkeun,12,2564,152954,6236401,18376629,31.2015
2026-02-04,inkeun,13,2014,121166,3943254,11401366,20.0311
2026-02-04,hletrd,11,1895924,160299,1012201,23271661,18.4941
2026-02-03,inkeun,13,10454,468709,19986290,81963631,106.5997
2026-02-03,hletrd,21,2654708,264311,224394,13351618,16.7758
2026-02-02,hletrd,7,1075101,83602,161720,8033721,7.4959
2026-02-02,inkeun,12,1112,80197,479518,4201697,4.2650
2026-02-01,hletrd,3,3134648,123004,281604,16457031,17.2421
2026-02-01,inkeun,5,266,17925,136018,638157,0.9712
2026-01-31,hletrd,3,295392,32197,115734,2755514,1.8920
2026-01-30,hletrd,26,6615695,517919,965149,47365700,44.2713
2026-01-29,hletrd,118,18042549,1511442,3505214,188117815,128.1194
2026-01-28,hletrd,64,25132355,1665319,5382382,203930151,170.6469
2026-01-27,hletrd,12,1372105,158181,520972,15707884,12.6906
2026-01-26,hletrd,1,742152,43320,0,3833216,4.0262
2026-01-25,hletrd,4,343738,100307,0,1304832,2.9273
2026-01-24,hletrd,12,996240,126512,114873,6697274,6.5882
2026-01-23,hletrd,9,982683,243588,276653,13850517,11.7945
2026-01-21,hletrd,10,420271,227869,0,5577472,6.3521
2026-01-20,hletrd,2,133221,55452,0,799104,1.4712
