member_name,session_id,model,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,cost_usd,project_name,recorded_at
조면철,b5e8ac98-e494-411d-a659-0db28c1062fa,claude-opus-4-6,61,4738,114762,890999,1.281517,-home-worv-git-sim-workstation,2026-03-20 07:07:26.866+00
hletrd,fdb7bad5-4fe9-46a5-baf0-67819c9213d6,claude-opus-4-6,2827,189593,6357207,230611490,159.79224875,-Users-hletrd-flash-shared-judgekit,2026-03-20 06:21:12.529+00
hletrd,3990f2c7-c198-41f8-8f00-b55a6ceb61d5,claude-opus-4-6,111,17356,363448,2543020,3.977515,-Users-hletrd-flash-shared-judgekit,2026-03-20 06:20:57.389+00
hletrd,348451d9-711a-49ad-88d4-fc12dc394dbf,claude-opus-4-6,105,3478,134038,1462914,1.6566695,-Users-hletrd-flash-shared-proxmox-ops,2026-03-20 06:02:01.899+00
cyjun0304,684f4ae3-d2f4-4e28-b2d7-f8f75fa710f9,claude-opus-4-6,99,12468,100001,2716834,2.29561825,-home-cyjun0304-sketchdrive,2026-03-20 05:51:46.062+00
hletrd,ecf5ab62-4621-4a88-8bdf-78621b81176b,claude-opus-4-6,2892,232066,7419502,324472581,214.424288,-Users-hletrd-flash-shared-RB-Y1,2026-03-20 04:43:59.719+00
claude,a98bb070-012e-460f-a078-fecb948b7331,claude-opus-4-6,36,2516,363704,464549,2.5685045,-mnt-harbor-users-claude-GitHub-vla-evaluation-harness-allenai,2026-03-20 03:13:56.667+00
jaeyoon,1a04290d-eca7-43d3-8115-dbc51c3e285e,claude-opus-4-6,17,2692,33312,177019,0.3640945,-mnt-raid9-workspace-jyjung-Threat-LLM,2026-03-20 02:57:24.004+00
claude,bbf0d3fc-bb8d-4d5f-91e4-ab63ba1a742e,claude-opus-4-6,403,17289,705250,13551973,11.618039,projects,2026-03-20 02:39:22.51+00
claude,1c686635-8a3d-4619-b1cc-e79e1a122af0,claude-opus-4-6,132,5698,144690,2794112,2.4444785,projects,2026-03-20 02:27:04.868+00
samwoo,faaa73a2-24c8-4a5e-8b1f-b06c064b5889,claude-opus-4-6,10,719,28674,62869,0.228672,-home-samwoo-github-repos-insty-marketing,2026-03-20 02:05:31.008+00
claude,9cf8c875-9346-4fb7-b3f7-831adec9d851,claude-opus-4-6,288,28637,1070418,9360348,12.0876515,-mnt-home-claude-vla-evaluation-harness,2026-03-20 02:02:54.879+00
claude,6b7dbdd9-bc0c-45b9-977e-733da0fcfbf6,claude-opus-4-6,42,3202,137665,1041487,1.46140975,-mnt-harbor-users-claude-GitHub-vla-evaluation-harness-allenai,2026-03-20 01:52:58.272+00
claude,c8bcd3e1-c998-4631-a469-0eac434998e5,claude-opus-4-6,245,40236,628428,11053066,10.461333,projects,2026-03-20 01:37:36.071+00
claude,debb9da8-6b6b-4548-ae5e-01d8dfa05ee9,claude-opus-4-6,30,997,188324,429053,1.4166265,-mnt-harbor-users-claude-GitHub-vla-evaluation-harness-allenai,2026-03-20 01:33:28.419+00
hletrd,73f1590e-6c4f-4f00-9b73-1e8e0f2513f5,claude-opus-4-6,63,3296,185853,674540,1.58156625,-Users-hletrd-git-computerprogramming2026,2026-03-20 01:27:02.434+00
hletrd,2c048a46-eeae-4bbc-9838-c8d7576b14e5,claude-opus-4-6,116,3696,269220,1377433,2.4643215,-Users-hletrd,2026-03-20 01:23:45.096+00
samwoo,1007d992-8e9c-4e23-810d-fa8eb8933395,claude-opus-4-6,23,3043,65770,298844,0.6366745,-home-samwoo-github-repos-insty-marketing,2026-03-20 01:19:55.166+00
hletrd,b5261d26-feea-454b-bc82-e41c85622145,claude-opus-4-6,223,14014,813754,3285430,7.0801425,-Users-hletrd-git-computerprogramming2026,2026-03-20 01:10:51.475+00
hletrd,f05edf09-8a1c-4eff-8dca-07c0cf5370fa,claude-opus-4-6,193,6245,261339,2103945,2.84243125,-Users-hletrd,2026-03-20 01:09:47.389+00
hletrd,021f4be6-f11c-45de-9b14-bc818ae6749a,claude-opus-4-6,276,18350,848174,6079310,8.8008725,-Users-hletrd-flash-shared-ccusage-worv,2026-03-20 01:04:23.315+00
hletrd,af05a921-1b6e-4d12-a838-8bd0bd131544,claude-opus-4-6,366,22676,1184559,10097726,13.02108675,-Users-hletrd-flash-shared-slopes,2026-03-20 00:57:23.1+00
hletrd,8ecb98dd-3a1a-4d1f-91e6-153cfaf849ed,claude-opus-4-6,1465,112232,6121673,95955377,89.05126975,-Users-hletrd-flash-shared-burstpick,2026-03-20 00:33:47.492+00
samwoo,69c5c156-56d1-4f92-9c3e-f8d5a2826807,claude-opus-4-6,14,1592,31756,186982,0.331836,-home-samwoo-github-repos-coc-and-fmea-project,2026-03-20 00:31:43.023+00
samwoo,27d6c0e1-2b05-4ec3-bb9a-6f93ceee6995,claude-opus-4-6,24,2163,59687,242657,0.54856725,-home-samwoo-github-repos-insty-marketing-temp-code,2026-03-20 00:06:11.597+00
cyjun0304,97bbff15-3853-4d98-826f-445514ab0243,claude-opus-4-6,48,3161,84060,1027011,1.1181455,-home-cyjun0304-CostNav,2026-03-20 00:03:26.774+00
inkeun,fe13771b-1f14-45f6-be71-c7efbba0df1d,claude-opus-4-6,70,5655,798948,1929394,6.099847,projects,2026-03-19 23:39:23.92+00
ben_baldivia,9f3c0f2e-6072-429a-8e57-939c103bb52a,claude-opus-4-6,3,2,0,17300,0.008715,projects,2026-03-19 23:29:20.073+00
ben_baldivia,843bf5fc-6666-4170-a7fc-314956c88e00,claude-opus-4-6,511,40077,502054,39024869,23.654752,projects,2026-03-19 23:28:20.942+00
ben_baldivia,1514da95-38de-494c-b7c5-9cef8a14e78c,claude-opus-4-6,3,102,9340,26578,0.074229,-Users-benbaldivia-dev-2-ds-agg,2026-03-19 22:40:30.307+00
ben_baldivia,49f6c305-e79e-4ad4-a778-4c7b03242caf,claude-opus-4-6,3,165,11403,24117,0.08746725,-Users-benbaldivia-dev-2-ds-agg-wt-worker-1,2026-03-19 22:36:38.618+00
김성민,1930ba27-1329-4458-a034-2e8bd3498e4b,claude-opus-4-6,250,13716,538026,4096887,5.755256,-home-khemoo-tmp-workspace-sim-workstation,2026-03-19 18:15:07.725+00
Da-hye Kim,b9ca2e71-1924-4b52-b578-1f06ea5af557,claude-opus-4-6,591,99632,1634600,80590432,53.005221,-home-meliora-temp-for-claude-automate-work-distribution,2026-03-19 15:36:24.227+00
hletrd,e384854a-9f1a-430c-9cf3-718f27c241b9,claude-opus-4-6,803,35766,4321531,27154596,41.48503175,-Users-hletrd-flash-shared-judgekit,2026-03-19 15:30:24.445+00
hletrd,541017d6-b3a0-4155-b2d4-782cd5eb5966,claude-opus-4-6,545,47120,1257700,20326334,19.204517,-Users-hletrd-flash-shared-Xylolabs-Knowledge-Engine,2026-03-19 15:22:27.045+00
hletrd,851c75f2-ec98-44d1-adde-b731f7c08836,claude-opus-4-6,435,36545,1026807,12428078,13.54738275,-Users-hletrd-flash-shared-judgekit,2026-03-19 14:50:08.964+00
hletrd,b92e5af9-dd64-4a1f-996d-857d1b4fb634,claude-opus-4-6,492,26630,761256,14094742,12.473431,-Users-hletrd-flash-shared-judgekit,2026-03-19 14:29:13.678+00
hletrd,cce315ea-76bf-49ed-89b6-50f788997dac,claude-opus-4-6,45,4057,135848,569649,1.2355245,-Users-hletrd-flash-shared-judgekit,2026-03-19 14:27:54.866+00
claude,6a27263f-613a-436b-8a1d-7a7dc1a93cd2,claude-opus-4-6,165,34699,366670,4254834,5.2874045,-mnt-harbor-users-claude-GitHub-vla-evaluation-harness-paper,2026-03-19 14:20:27.006+00
hletrd,bdfc7b52-30ef-4c6a-9973-4a5bd0cdd641,claude-opus-4-6,543,92873,2369069,25830572,30.04650725,-Users-hletrd-flash-shared-slopes,2026-03-19 13:56:55.083+00
조면철,743d305c-76e3-47d4-a427-a7f4a17260a2,claude-opus-4-6,377,53681,507280,32752458,20.890639,-workspaces-aloha2-studio--worktrees-worker-1,2026-03-19 13:11:37.141+00
조면철,f810f368-14b4-4207-999c-15c941ae9c83,claude-opus-4-6,507,60186,3187823,29721957,36.29205725,-home-worv-git-sim-workstation,2026-03-19 13:11:32.417+00
claude,36a3e4c8-3bae-41ef-91a6-abf86024d29e,claude-opus-4-6,7278,68380,1990397,40093141,34.23244175,projects,2026-03-19 12:24:19.805+00
조면철,1c4e093e-3698-4672-9dbf-fdce0d1272bb,claude-opus-4-6,2168,173861,2464525,211173454,125.34737325,-workspaces-aloha2-studio--worktrees-worker-1,2026-03-19 12:15:32.634+00
ben_baldivia,d21f4ee8-05b4-4c27-bd4f-6121da2d7f4e,claude-opus-4-6,190,31839,202402,12019668,8.0717715,projects,2026-03-19 12:03:35.726+00
ben_baldivia,4753b0de-969d-4889-b31b-52c5d22966d6,claude-opus-4-6,140,21155,133659,5666626,4.19825675,projects,2026-03-19 12:03:30.314+00
ben_baldivia,a42ad699-e462-4783-ab42-3e72114f515b,claude-opus-4-6,352,46680,331094,26141703,16.308949,-Users-benbaldivia-dev-2-ds-agg-wt-worker-1,2026-03-19 12:03:23.559+00
Da-hye Kim,9fb0aee4-cee8-49d4-bfca-893db34feeb1,claude-opus-4-6,228,48865,493011,9741356,9.17476175,-home-meliora,2026-03-19 11:51:45.194+00
Da-hye Kim,07516101-14c2-4e48-b548-971f9db281eb,claude-sonnet-4-6,22,2744,102828,132427,0.4665591,projects,2026-03-19 11:39:38.478+00
Da-hye Kim,61a1282b-e422-4642-a13e-b9f89974c00c,claude-opus-4-6,542,79997,656067,44018536,28.11232175,-home-meliora-temp-for-claude,2026-03-19 11:17:19.177+00
ben_baldivia,10703aba-2df2-461f-9899-bf8902c4fa99,claude-opus-4-6,567,80495,371599,41415737,25.04557225,-Users-benbaldivia-dev-2-ds-agg,2026-03-19 10:51:40.533+00
Da-hye Kim,07516101-14c2-4e48-b548-971f9db281eb,claude-opus-4-6,11069,52008,696545,26710470,19.06418625,projects,2026-03-19 10:41:08.932+00
samwoo,3060f384-0c63-47ba-85c5-2a2bb1fb34fa,claude-opus-4-6,665,101123,1871071,51136489,39.79383825,-home-samwoo-github-repos-coc-and-fmea-project,2026-03-19 10:23:50.518+00
김윤식,0afbc02d-2781-41d3-bb9e-6a49b54dd7a7,claude-opus-4-6,59,4880,73846,1362219,1.264942,-sketchdrive,2026-03-19 10:20:36.037+00
samwoo,8aa30875-6868-4eb4-a4f3-17063c2837e9,claude-opus-4-6,34,4316,42840,323162,0.537401,-home-samwoo-github-repos-coc-and-fmea-project,2026-03-19 10:17:19.519+00
Da-hye Kim,d686c39e-6a87-49fb-8add-a4c27b326c63,claude-opus-4-6,94,6798,527424,1587793,4.2607165,-home-meliora-temp-for-claude,2026-03-19 09:49:47.532+00
claude,68c1512a-b850-44bd-9872-203f65d7a37d,claude-opus-4-6,27,2041,310119,246339,2.11257325,-mnt-harbor-users-claude-GitHub-vla-evaluation-harness,2026-03-19 09:41:34.478+00
조면철,5d370db0-cccc-4de0-a4ab-bc03135a0c55,claude-opus-4-6,29,2036,22185,234644,0.30702325,-workspaces-aloha2-studio,2026-03-19 08:53:42.278+00
hletrd,2bfd3588-5f6f-4e20-86e7-b3a6df4b27ff,claude-opus-4-6,90,3759,105153,1289313,1.39628775,-Users-hletrd-flash-shared-ccusage-worv,2026-03-19 08:42:45.24+00
hletrd,d16d14dc-75e0-455d-86ce-fd46a3800897,claude-opus-4-6,19,281,189920,147741,1.2679905,-Users-hletrd,2026-03-19 08:38:20.369+00
hletrd,c5a02d26-7ffd-4c54-a0c5-76471349a2da,claude-opus-4-6,10,323,44856,135228,0.356089,-Users-hletrd-flash-shared-RB-Y1,2026-03-19 08:37:42.43+00
hletrd,f43d94e3-2e1c-414e-8859-e742b747536a,claude-opus-4-6,142,5581,188784,2124472,2.382371,-Users-hletrd-flash-shared-judgekit,2026-03-19 08:37:11.09+00
hletrd,216b12c8-1b13-435e-8065-c6533e199bd8,claude-opus-4-6,10,335,51838,97254,0.3810395,-Users-hletrd-flash-shared-judgekit,2026-03-19 08:30:09.429+00
hletrd,66f2b0f1-a412-4a85-b5b3-04fd80fda989,claude-opus-4-6,19,478,42149,189321,0.37013675,-Users-hletrd,2026-03-19 08:25:09.59+00
hletrd,98d4445b-9792-4053-9019-8ca8b51a5163,claude-opus-4-6,134,5473,266163,1951915,2.77697125,-Users-hletrd,2026-03-19 08:20:54.037+00
claude,5b79e59c-f9f0-401e-89d1-866b26b0f168,claude-opus-4-6,552,39664,3822908,23333368,36.554219,-mnt-harbor-users-claude-GitHub-vla-evaluation-harness--claude-worktrees-vivid-dreaming-balloon,2026-03-19 08:05:52.086+00
hletrd,3cfc097d-42ad-4ef4-88bc-28a35dc69e23,claude-opus-4-6,264,17683,825308,4985232,8.094186,-Users-hletrd-dgx-management,2026-03-19 08:00:41.691+00
claude,88cf206a-ffe8-4642-b19a-6687e6cd08fb,claude-opus-4-6,89,5496,327249,1997057,3.18167975,-mnt-home-claude-GitHub-dgx-management,2026-03-19 07:52:48.016+00
inkeun,e05f1d5d-5988-4ce3-b0bb-f199368b499e,claude-opus-4-6,37,1601,213992,323548,1.539434,projects,2026-03-19 07:43:22.781+00
claude,f6205019-5b13-4270-bcab-796e0159a34d,claude-opus-4-6,153,4983,466740,2827018,4.455974,-mnt-home-claude,2026-03-19 07:43:03.479+00
김성민,7a960ff3-5bd1-4f27-aa85-123a37ef122a,claude-opus-4-6,28,1020,89129,321316,0.74335425,-home-khemoo-tmp-workspace-isaac-sim,2026-03-19 07:38:07.862+00
조면철,3b434d84-bd82-45de-8272-2afaeb858312,claude-opus-4-6,356,7609,79490,977119,1.177377,-workspaces-aloha2-studio,2026-03-19 07:13:24.809+00
ben_baldivia,72913a67-7a3a-4379-9432-b3c44dbfdfb5,claude-opus-4-6,1045,150675,844442,198108405,108.104065,-Users-benbaldivia-dev-2-trip-planning,2026-03-19 06:53:09.499+00
김윤식,bf886be5-3435-414d-b28d-1c59eb408647,claude-opus-4-6,584,96520,1543721,74581232,49.35479225,-sketchdrive,2026-03-19 06:39:01.003+00
claude,100b6148-8c8a-4a2d-840e-01e926856b6c,claude-opus-4-6,10593,120089,5503173,114051311,94.47567675,projects,2026-03-19 06:20:39.869+00
claude,23516149-7109-4217-98df-5a9b7d3806be,claude-opus-4-6,48,1435,310640,675255,2.3152425,-mnt-harbor-users-claude-GitHub-vla-evaluation-harness,2026-03-19 06:17:23.065+00
김성민,f71303c8-a431-4358-9a4d-e81b37de71b8,claude-opus-4-6,591,32385,1534233,13831083,17.31707775,-home-khemoo-tmp-workspace-isaac-sim,2026-03-19 06:12:51.768+00
claude,d7d1a2f5-c0ca-46e7-ad95-49bc5f71b838,claude-opus-4-6,30,933,263306,499742,1.9190085,-mnt-harbor-users-claude-GitHub-DeltaTok,2026-03-19 06:04:46.529+00
claude,e5e59056-86e6-4067-b091-a4fa3465604a,claude-opus-4-6,749,18174,409198,7507604,6.7693845,-mnt-harbor-users-claude-GitHub-DeltaTok--claude-worktrees-twinkling-percolating-chipmunk,2026-03-19 05:57:40.606+00
김윤식,64399fcd-f74e-450e-8444-8fa6dfc56da3,claude-opus-4-6,25,5394,46611,484786,0.66868675,-sketchdrive,2026-03-19 05:49:25.418+00
claude,7da205a6-34db-41fe-a347-805c27409457,claude-opus-4-6,249,19075,1240386,6410976,11.4360205,projects,2026-03-19 04:32:25.546+00
claude,5d367c28-3161-4ccc-a097-9d9e33badc0d,claude-opus-4-6,206,10090,420686,4258871,5.012003,projects,2026-03-19 04:23:53.898+00
Da-hye Kim,72685285-bcf8-4d09-8d13-5c5c5dc21741,claude-haiku-4-5-20251001,9098,61980,1685273,22727663,4.69835555,projects,2026-03-19 03:58:45.504+00
inkeun,666a0175-c8e0-46dc-a4d7-b29938919131,claude-opus-4-6,11,533,68605,106118,0.49522025,projects,2026-03-19 03:34:05.009+00
ben_baldivia,d8ae6e03-079d-4ea6-8be8-8dd0a8a7bbc0,claude-opus-4-6,263,24432,211528,8495932,6.182131,projects,2026-03-19 03:31:45.951+00
hletrd,ac46502a-4790-4533-9b05-df0cedf3031a,claude-opus-4-6,132,21056,373001,2768559,4.24259575,-Users-hletrd-flash-shared-kiwi-paper,2026-03-19 03:30:45.709+00
ben_baldivia,0f555699-9190-4a76-a46f-db3d3677520e,claude-opus-4-6,80,5799,93265,1228843,1.34270275,-Users-benbaldivia-dev-lmf-wt-main,2026-03-19 03:17:04.084+00
김성민,fb404235-a88d-4784-889b-88f1a11a003b,claude-opus-4-6,5312,2648,171436,80666,1.204568,-home-khemoo-isaac-sim-5-1-0,2026-03-19 03:16:04.397+00
hletrd,8254f969-874f-43bb-a3c2-8279e04032bd,claude-opus-4-6,1172,71500,2689522,65315837,51.260791,-Users-hletrd-flash-shared-judgekit,2026-03-19 03:16:03.27+00
claude,1b26890d-c65d-43a3-9ed3-eb2dba5d0cbd,claude-opus-4-6,42,2465,201825,654161,1.65032175,-mnt-harbor-users-claude-GitHub-vla-evaluation-harness--claude-worktrees-smoke-test-cli,2026-03-19 03:05:57.009+00
조면철,b3d60871-12fa-45f4-9f91-60d66f7e3c7a,claude-opus-4-6,2951,99538,1934236,42719821,35.9520905,-home-worv-git-aloha2-workspace,2026-03-19 02:41:46.513+00
claude,074c2fa3-292d-45b9-b0aa-b1a8eb110137,claude-opus-4-6,156,26231,418353,4512225,5.52737375,-mnt-harbor-users-claude-GitHub-vla-evaluation-harness--claude-worktrees-hashed-coalescing-leaf,2026-03-19 02:12:01.213+00
김성민,026b7287-f64c-42d3-9118-cc38658e0b97,claude-opus-4-6,1778,84386,4040210,46342467,50.541086,-home-khemoo-tmp-workspace-isaac-sim,2026-03-19 01:51:21.62+00
claude,68654d05-cd0f-4cf0-92f2-28fd56ae24dc,claude-opus-4-6,7890,111198,3852544,64349314,59.072457,projects,2026-03-19 01:49:33.38+00
claude,fcf7dc38-c63a-46f7-b89c-ebd515529637,claude-opus-4-6,705,33674,992706,28536885,21.31823,projects,2026-03-19 01:47:10.179+00
claude,0abdfe75-cba5-412f-9388-2e9c619470ae,claude-opus-4-6,628,25968,1303414,19696328,18.6468415,projects,2026-03-19 01:25:33.944+00
조면철,9a96b2cf-437e-4a0e-9f77-f7d8956ea8b4,claude-opus-4-6,115,7826,72649,651281,0.97592175,-home-worv-git-worv-robot-inference,2026-03-19 01:21:29.545+00
claude,8e571db7-5873-48c1-8084-589c45c68b71,claude-opus-4-6,15,802,150192,224911,1.0712805,-mnt-harbor-users-claude-GitHub-vla-evaluation-harness-paper,2026-03-19 01:17:00.596+00
Da-hye Kim,e64d49a2-7828-414b-ac16-0bffad1d73dd,claude-haiku-4-5-20251001,5984,10765,295214,3126801,0.7415066,projects,2026-03-19 01:08:25.034+00
ben_baldivia,c2509986-f97a-4c72-97eb-16183d4b9e3e,claude-opus-4-6,749,155339,1136410,114767609,68.373587,projects,2026-03-19 00:16:54.437+00
Da-hye Kim,0e3fd615-9f68-4739-a4e3-474521960269,claude-haiku-4-5-20251001,255,17584,717556,6863271,1.6714471,projects,2026-03-19 00:09:32.01+00
Da-hye Kim,0e3fd615-9f68-4739-a4e3-474521960269,claude-opus-4-6,582,72353,711350,51006276,31.7608105,projects,2026-03-19 00:00:26.866+00
inkeun,4b429828-4422-48eb-9a02-0e5a561412a3,claude-opus-4-6,52,8926,396637,1422381,3.41358175,projects,2026-03-18 23:41:32.11+00
inkeun,d50f057e-1ac8-4dda-8d02-a10e3928a045,claude-opus-4-6,31,1390,129506,563937,1.126286,projects,2026-03-18 23:16:10.959+00
samwoo,e5c32411-c977-434b-9ce1-eda89ab10e7a,claude-opus-4-6,342,107631,554760,13934886,13.127178,-home-samwoo-github-repos-insty-marketing,2026-03-18 22:42:38.345+00
hletrd,1e83ed43-b072-479d-9ea8-8f49a3f718c7,claude-opus-4-6,1364,124308,4052571,92917103,74.90164025,-Users-hletrd-flash-shared-judgekit,2026-03-18 16:55:02.632+00
claude,16940740-3659-4d58-9759-4a8e8fd5806a,claude-opus-4-6,997,86168,3326318,68235808,57.0665765,projects,2026-03-18 16:10:34.407+00
hletrd,836ab47e-c71a-45de-acf2-33f5748690f6,claude-opus-4-6,138,14804,417099,7676761,6.81603925,-Users-hletrd-flash-shared-judgekit,2026-03-18 16:01:52.374+00
hletrd,0da54658-ee36-45d9-9122-df477af506b9,claude-opus-4-6,499,44301,470223,16698789,12.39830825,-Users-hletrd-flash-shared-judgekit,2026-03-18 15:52:08.155+00
claude,62e6168c-34ba-4ac3-add6-a2b86fcb7006,claude-opus-4-6,1882,81739,2703744,118377039,78.1398045,-mnt-harbor-users-claude-GitHub-DeltaTok,2026-03-18 15:36:03.127+00
hletrd,7f697aeb-3b7c-4057-a6a1-410d70932511,claude-opus-4-6,202,20765,612055,4555534,6.62324575,-Users-hletrd-dgx-management,2026-03-18 15:30:15.041+00
hletrd,4706152f-a6aa-432e-8fbb-7a7b5c053d47,claude-opus-4-6,15,302,80845,120858,0.57333525,-Users-hletrd-flash-shared-g2,2026-03-18 15:29:03.707+00
claude,f112988e-a3cf-4816-b395-30b051ea71b0,claude-opus-4-6,181,5715,340007,3572103,4.05487525,projects,2026-03-18 15:07:15.041+00
hletrd,79b53e81-c0fe-4255-a5d5-7eb01eac07a5,claude-opus-4-6,49,1855,96234,932687,1.114426,-Users-hletrd-flash-shared-RB-Y1,2026-03-18 14:46:08.852+00
hletrd,2f097efe-1506-4052-84ff-a0ef4cc6a7c4,claude-opus-4-6,27,3647,43139,323369,0.52261325,-Users-hletrd-flash-shared-setup,2026-03-18 14:43:40.154+00
hletrd,7f4286fd-77c0-4745-ba07-ced9a61c85d3,claude-opus-4-6,324,14252,270333,6306598,5.20080025,-Users-hletrd-flash-shared-atik-kr-ops,2026-03-18 14:28:07.539+00
hletrd,3cc72cad-828e-483a-85fd-9af6944ee09c,claude-opus-4-6,262,14950,322876,5389205,5.0876375,-Users-hletrd-flash-shared-g2,2026-03-18 14:24:42.12+00
hletrd,0bd1d9ae-f88f-4e78-81d1-5ee8a802f293,claude-opus-4-6,543,33385,702972,13376289,11.9190595,-Users-hletrd-git-nas-ops,2026-03-18 14:23:37.19+00
hletrd,81bac1a7-318a-4b1c-bfe6-fc2150f54e5e,claude-opus-4-6,1330,78023,1861158,73956296,50.5676105,-Users-hletrd-flash-shared-judgekit,2026-03-18 14:20:40.165+00
Da-hye Kim,e64d49a2-7828-414b-ac16-0bffad1d73dd,claude-opus-4-6,746,54954,664981,29186948,20.12718525,projects,2026-03-18 14:17:10.011+00
claude,ba262835-5552-4075-bfd7-9effabf3d37a,claude-opus-4-6,160,8612,214764,3398562,3.257656,-mnt-home-claude,2026-03-18 14:07:16.377+00
claude,ceb0e1e5-af3e-494c-b7fa-e4c3d843627d,claude-opus-4-6,285,13828,617832,8443538,8.430344,-mnt-home-claude,2026-03-18 14:02:40.143+00
Da-hye Kim,92a89579-8da7-4941-b563-1141d409eace,claude-haiku-4-5-20251001,977,25374,959469,8355858,2.16276905,projects,2026-03-18 14:02:32.903+00
hletrd,0de03102-6fd3-4ea7-9732-6ae94ec80f89,claude-opus-4-6,382,28805,355361,9472958,7.67952025,-Users-hletrd-flash-shared-setup,2026-03-18 13:57:45.042+00
hletrd,dc23fe49-66ee-4801-a0db-9cf44721b080,claude-opus-4-6,4921,315722,4922463,586979389,332.17274325,-Users-hletrd-git-RB-Y1,2026-03-18 13:49:16.431+00
hletrd,9e2f2f6b-52f4-4116-bc68-4265aae8a2f3,claude-opus-4-6,2136,158195,5222811,134648752,103.93249975,-Users-hletrd-flash-shared-atik-kr-ops,2026-03-18 13:39:47.294+00
hletrd,9ce9b1d8-8461-4567-a4ae-d0e6a481dc56,claude-opus-4-6,217,31478,419108,5745201,6.2800605,-Users-hletrd-flash-shared-dgx-management,2026-03-18 13:26:23.966+00
hletrd,79e1adc8-9054-48fb-a6e7-cad78498cc74,claude-opus-4-6,102,13660,161730,1652638,2.1791415,-Users-hletrd-flash-shared-worv-robot-inference,2026-03-18 13:15:31.317+00
hletrd,a27ead1f-8cc3-4fe7-a5a9-ed7b21f0b696,claude-opus-4-6,2746,209976,7299643,339283321,220.52755925,-Users-hletrd-flash-shared-judgekit,2026-03-18 13:11:59.317+00
hletrd,37b9b7a2-a3e4-4b2c-a1da-5eefff31fb60,claude-opus-4-6,254,18874,680679,5052216,7.25347175,-Users-hletrd-flash-shared-g2,2026-03-18 12:53:00.339+00
김선후,fd34bedc-cfb3-481d-b1bf-ed193006a6a0,claude-opus-4-6,57,15440,93835,1041350,1.49342875,C--Project-worv-ai-,2026-03-18 12:02:02.291+00
Da-hye Kim,b7cf4461-3159-43fa-9c1f-4b50a03236b7,claude-opus-4-6,5,252,32146,42090,0.2282825,projects,2026-03-18 12:00:15.448+00
claude,22b7577a-2c07-4455-8838-81e20f6f9b96,claude-opus-4-6,724,81717,1953140,37423133,32.9652365,projects,2026-03-18 11:34:48.779+00
jaeyoon,19763368-92c8-4292-90f0-a2ba1629a460,claude-haiku-4-5-20251001,18410,3452,322112,598583,0.4981683,-mnt-raid9-workspace-jyjung-Threat-LLM,2026-03-18 10:35:28.06+00
